region,woreda,date,acute_cases,roll_mean,roll_std,variability_factor
somali,west_imi,2019-05-01,0.0,0.0,0.0,
somali,west_imi,2019-06-01,0.0,0.0,0.0,
somali,west_imi,2019-07-01,0.0,0.0,0.0,
somali,west_imi,2019-08-01,0.0,0.0,0.0,
somali,west_imi,2019-09-01,0.0,0.0,0.0,
somali,west_imi,2019-10-01,0.0,0.0,0.0,
somali,west_imi,2019-11-01,0.0,0.0,0.0,
somali,west_imi,2019-12-01,0.0,0.0,0.0,
somali,west_imi,2020-01-01,0.0,0.0,0.0,
somali,west_imi,2020-02-01,0.0,0.0,0.0,
somali,west_imi,2020-03-01,0.0,0.0,0.0,
somali,west_imi,2020-04-01,0.0,0.0,0.0,
somali,west_imi,2020-05-01,0.0,0.0,0.0,
somali,west_imi,2020-06-01,0.0,0.0,0.0,
somali,west_imi,2020-07-01,0.0,0.0,0.0,
somali,west_imi,2020-08-01,0.0,0.0,0.0,
somali,west_imi,2020-09-01,0.0,0.0,0.0,
somali,west_imi,2020-10-01,0.0,0.0,0.0,
somali,west_imi,2020-11-01,0.0,0.0,0.0,
somali,west_imi,2020-12-01,0.0,0.0,0.0,
somali,west_imi,2021-01-01,0.0,0.0,0.0,
somali,west_imi,2021-02-01,0.0,0.0,0.0,
somali,west_imi,2021-03-01,0.0,0.0,0.0,
somali,west_imi,2021-04-01,0.0,0.0,0.0,
somali,west_imi,2021-05-01,0.0,0.0,0.0,
somali,west_imi,2021-06-01,0.0,0.0,0.0,
somali,west_imi,2021-07-01,0.0,0.0,0.0,
somali,west_imi,2021-08-01,0.0,0.0,0.0,
somali,west_imi,2021-09-01,0.0,0.0,0.0,
somali,west_imi,2021-10-01,0.0,0.0,0.0,
somali,west_imi,2021-11-01,0.0,0.0,0.0,
somali,west_imi,2021-12-01,0.0,0.0,0.0,
somali,west_imi,2022-01-01,0.0,0.0,0.0,
somali,west_imi,2022-02-01,0.0,0.0,0.0,
somali,west_imi,2022-03-01,0.0,0.0,0.0,
somali,west_imi,2022-04-01,0.0,0.0,0.0,
somali,west_imi,2022-05-01,0.0,0.0,0.0,
somali,west_imi,2022-06-01,0.0,0.0,0.0,
somali,west_imi,2022-07-01,336.0,56.0,137.17142559585798,2.4494897427831783
somali,west_imi,2022-08-01,432.0,128.0,200.60707863881572,1.5672428018657478
somali,west_imi,2022-09-01,309.0,179.5,200.83799441340776,1.1188746206875084
somali,west_imi,2022-10-01,319.0,232.66666666666666,185.45044261652941,0.7970649396125906
somali,west_imi,2022-11-01,473.0,311.5,166.31145480693743,0.533905151868178
somali,west_imi,2022-12-01,68.0,322.8333333333333,141.27054422867727,0.43759590365103956
somali,west_imi,2023-01-01,271.0,312.0,142.54543135435802,0.45687638254601926
somali,west_imi,2023-02-01,480.0,320.0,151.68124472063116,0.4740038897519724
somali,west_imi,2023-03-01,312.0,320.5,151.6426720946317,0.4731440626977588
somali,west_imi,2023-04-01,138.0,290.3333333333333,169.00966441794586,0.5821228395566448
somali,west_imi,2023-05-01,84.0,225.5,159.25294345788402,0.7062214787489314
somali,west_imi,2023-06-01,117.0,233.66666666666666,150.58109664452132,0.6444269471234865
somali,west_imi,2023-07-01,260.0,231.83333333333334,150.1018543078888,0.6474558776760121
somali,west_imi,2023-08-01,151.0,177.0,88.9494238317484,0.5025391176934938
somali,west_imi,2023-09-01,113.0,143.83333333333334,61.36910188903435,0.4266681475483268
somali,west_imi,2023-10-01,70.0,132.5,68.52371852139969,0.5171601397841485
somali,west_imi,2023-11-01,228.0,156.5,73.19767755878605,0.46771678951300993
somali,west_imi,2023-12-01,99.0,153.5,75.47383652630897,0.4916862314417523
somali,west_imi,2024-01-01,235.0,149.33333333333334,68.81472710595223,0.46081290472735864
somali,west_imi,2024-02-01,685.0,238.33333333333334,229.38497480581995,0.962454439744699
somali,west_imi,2024-03-01,112.0,238.16666666666666,229.49458962395315,0.9635881999606151
somali,west_imi,2024-04-01,202.0,260.1666666666667,216.08462848307065,0.8305623131956591
somali,west_imi,2024-05-01,135.0,244.66666666666666,222.10508023606005,0.9077864314825342
somali,west_imi,2024-06-01,98.0,244.5,222.23658564691817,0.9089430905804424
somali,west_imi,2024-07-01,0.0,205.33333333333334,243.89806613966147,1.187815257173676
somali,west_imi,2024-08-01,0.0,91.16666666666667,79.1313254449001,0.8679852882438768
somali,west_imi,2024-09-01,0.0,72.5,86.1341976220829,1.188057898235626
somali,west_imi,2024-10-01,0.0,38.833333333333336,61.28757350937219,1.5782207770653782
somali,west_imi,2024-11-01,0.0,16.333333333333332,40.00833246545902,2.4494897427832054
somali,west_imi,2024-12-01,0.0,0.0,0.0,
